Title,ingredients
Miso-Butter Roast Chicken With Acorn Squash Panzanella,"chicken, kosher salt, divided, plus more, acorn squash, finely sage, finely rosemary, butter, plus room temperature, allspice, red pepper flakes, Freshly black pepper, loaf good-quality sturdy white bread, torn into "", apples, cored, cut into "", extra-virgin olive oil, red onion, thinly, apple cider vinegar, white miso, all-purpose flour, butter, room temperature, dry white wine, chicken broth, white miso, Kosher salt, freshly pepper"
Crispy Salt and Pepper Potatoes,"egg whites, new potatoes, kosher salt, finely black pepper, finely rosemary, finely thyme, finely parsley"
Thanksgiving Mac and Cheese,"evaporated milk, milk, garlic powder, onion powder, smoked paprika, freshly black pepper, kosher salt, plus more, extra-sharp cheddar, coarsely grated, full-fat cream cheese, elbow macaroni"
Italian Sausage and Bread Stuffing,"round Italian loaf, cut into -inch cubes, olive oil, divided, sweet Italian sausage, casings removed, divided, butter, cut into, onions, celery ribs, garlic, eggs, lightly beaten, heavy cream, divided, turkey giblet stock or reduced-sodium chicken broth, grated Parmigiano-Reggiano, coarsely flat- parsley, -qt shallow ceramic or glass baking dish"
Newton's Law,"dark brown sugar, hot water, bourbon, lemon juice, apple butter, Garnish: orange twist and freshly grated or cinnamon"
Warm Comfort,"chamomile tea bags, reposado tequila, lemon juice, agave nectar"
Apples and Oranges,"Grand Marnier, Amaro Averna, pat butter, hot apple cider, to lemon juice, Garnish: freshly pink peppercorns, plus lemon wheels"
Turmeric Hot Toddy,"granulated sugar, turmeric, Amontillado sherry, bourbon, aged rum, Scotch, mezcal, or gin, Turmeric Syrup, lemon juice, Garnish: Dehydrated lemon wheel"
Instant Pot Lamb Haleem,"assorted dals, white jasmine rice or other long-grain rice, pearl barley, bone-in lamb stew meat, kosher salt, divided, plus more, "" ginger, shallots, thinly, ghee or vegetable oil, garlic, finely grated, plus garam masala, cayenne pepper, turmeric, green Thai chiles, stems removed, cilantro, plus more for serving, white onion, finely, limes, cut into wedges"
Spiced Lentil and Caramelized Onion Baked Eggs,"basic lentil soup, like Amy’s, onion, thinly, turmeric, cumin, Aleppo pepper or red pepper flakes, tomato paste, eggs, ghee, butter, or olive oil, cumin seeds, Olive oil, Kosher salt and freshly black pepper, Parsley, for finishing"
Hot Pimento Cheese Dip,"chipotle in adobo sauce, garlic, Kosher salt, cornstarch, evaporated milk, sharp or extra-sharp Cheddar cheese, coarsely grated, cream cheese, roughly, at room temperature, mayonnaise, jar pimento peppers, drained, Chipotle Pepper Purée"
Spiral Ham in the Slow Cooker,"bone-in, hickory-smoked, uncured fully cooked ham, parsnips, peeled and halved lengthwise, carrots, peeled and halved lengthwise, maple syrup, unsweetened apple juice, packed dark brown sugar, smooth Dijon mustard, grainy Dijon mustard, apple cider vinegar, Kosher salt"
Butternut Squash and Apple Soup,"bacon, cut crosswise into -inch, celery ribs, carrot, onion, cinnamon, boiling potatoes, Granny Smith apples, butternut squash, peeled, seeded, and cut into -inch, reduced-sodium chicken stock or broth, to water, Sour cream"
Caesar Salad Roast Chicken,"anchovies, mashed to a paste, garlic, finely grated, mayonnaise, divided, Dijon mustard, plus more for serving, extra-virgin olive oil, divided, freshly black pepper, plus more, chicken or chicken legs, Kosher salt, shallots, unpeeled, halved lengthwise, lemons, divided, Parmesan, finely grated, country-style bread, torn into, romaine hearts, separated, torn"
Chicken and Rice With Leeks and Salsa Verde,"skinless, boneless chicken thighs, Kosher salt, freshly pepper, butter, divided, or leeks, white and pale green parts only, halved lengthwise, thinly, Zest and juice lemon, divided, long-grain white rice, rinsed until water runs clear, low-sodium chicken broth, oil-packed anchovy fillet, garlic, drained capers, red pepper flakes, tender herb, – extra-virgin olive oil"
